C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
"DeltaPrice_FD_df=0,5bps -> per1bp (ATM STRADDLE)",,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
2Y30Y,0.001751932753253251,0.0010828031009765405,,0.00039837057599296616,0.00014407880561434193,5.3031399284796566e-05,,0.00017045758161497097,0.00013681379840440046,,6.47353278640916e-05,2.860618291735736e-05,1.4314073591211855e-05,
5Y2Y,0.00013655153492124735,9.488830599807439e-05,,4.612300404638787e-05,2.331863506849676e-05,1.2663646197503676e-05,,1.8598331814247184e-05,1.9841995527403957e-05,,1.8233847753063356e-05,1.3976401383984877e-05,9.796721875771347e-06,
5Y5Y,0.0003510483727989019,0.0002505209502304262,,0.00012644312495179314,6.311655389222077e-05,3.1808533853075154e-05,,4.723066482058749e-05,4.870637049469398e-05,,4.233992284512814e-05,3.141233211914152e-05,2.1159111867290877e-05,
5Y10Y,0.0007110302691868514,0.0005188889921878207,,0.0002719176581080681,0.00013792171729956477,6.849736350447648e-05,,9.456630518119997e-05,9.551346160678951e-05,,8.045481770099402e-05,5.844944313070615e-05,3.8914525047699187e-05,
5Y20Y,0.001376203138410862,0.001002719271384619,,0.0005234093348994037,0.0002637933385399543,0.0001296246428678223,,0.00017847620616550603,0.00017695787585706146,,0.0001427890014150863,0.0001000813400281569,6.528543952727008e-05,
5Y30Y,0.002006433355350451,0.0014551790622708023,,0.0007513567042505019,0.00037385456008524854,0.00018090831892422752,,0.00026060841912972584,0.00025536146816100466,,0.00020001295279074038,0.0001362605467805968,8.744845555994306e-05,
10Y2Y,0.0001600908613008985,0.00013041908835409807,,8.727051708397404e-05,5.8518891664563966e-05,3.966493777023893e-05,,2.794192424870391e-05,2.9788754002501928e-05,,3.052592019049115e-05,2.8802368372144823e-05,2.5485544272057203e-05,
10Y5Y,0.0003943439996163791,0.0003201508622597652,,0.00021233040262031504,0.00014049994242094552,9.28272447873248e-05,,6.701047395501144e-05,7.083181977634934e-05,,7.074955929055332e-05,6.465566959435855e-05,5.5813234398288664e-05,
10Y10Y,0.0007736354390716346,0.0006269247906031287,,0.00041357563791600746,0.0002712434120104515,0.00017668466344940441,,0.00013030979761815517,0.0001364777742288182,,0.00013329745921863073,0.0001191420329810486,0.00010102368825356347,
10Y20Y,0.0014842796557687163,0.001187766862166183,,0.0007622869383081793,0.0004843623844384536,0.00030418336409699504,,0.000244879434913799,0.00025386818889141724,,0.0002402485234930371,0.00020707074015166276,0.00016985644467366475,
10Y30Y,0.0021622994353700663,0.001712370536336401,,0.0010748848355824074,0.0006669915201750192,0.00040849783489447833,,0.0003535453473751316,0.00036507441997886886,,0.0003402307476526797,0.0002876259904360387,0.0002314785890964554,
